Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.9068887615203858,38.375,2.0043308258056642,60.25
2,1.8422520852088928,62.34375,1.53672447681427,63.24999999999999
3,1.4570176386833191,67.4375,1.3763146162033082,65.25
4,1.265147759914398,69.75,1.298527283668518,65.5
5,1.126311301589012,72.8125,1.2524377083778382,65.75
6,1.0231999057531356,74.9375,1.2209415125846863,66.25
7,0.9651774972677231,75.5,1.205209710597992,66.625
8,0.9035958111286163,77.1875,1.1803964352607728,66.875
9,0.8272854968905449,79.25,1.172655189037323,66.875
10,0.7938005000352859,79.71875,1.1635586810112,66.75
11,0.7651474288105965,79.875,1.1557237935066222,66.625
12,0.7287855368852615,81.5625,1.1563177251815795,66.75
13,0.6898965308070183,81.84375,1.1524849128723145,66.25
14,0.692769683599472,81.625,1.1488943076133729,66.25
15,0.6478393271565437,83.3125,1.1571661472320556,65.375
16,0.6245343625545502,83.84375,1.1550408172607423,66.125
17,0.6010321468114853,83.625,1.1495593547821046,67.125
18,0.5976693439483642,84.21875,1.1511353850364685,66.5
19,0.5570014950633049,85.28125,1.156472430229187,66.375
20,0.5566145747900009,85.34375,1.1634024500846862,66.25
