Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.0401514744758606,43.65625,3.492870359420776,40.0
2,0.9402475902438163,72.09375,1.7639711475372315,57.75
3,0.5258159655332565,83.71875,2.0478210735321043,54.75
4,0.3229764097929001,89.53125,2.147652621269226,53.25
5,0.24019703842699527,92.78125,2.069839315414429,56.99999999999999
6,0.20906869744881987,93.21875,2.2072913312911986,56.75
7,0.22290499308146536,93.34375,2.204387593269348,52.87500000000001
8,0.19793865114450454,93.9375,2.0623481178283694,56.125
9,0.1366907419124618,95.78125,2.129835352897644,56.00000000000001
10,0.11583773827180266,96.25,2.141729896068573,56.00000000000001
11,0.15128061755560337,95.375,2.5867372131347657,54.75
12,0.12359027336118743,96.21875,2.134725456237793,56.25
13,0.09443435612367466,97.40625,2.617292380332947,51.5
14,0.1145031138905324,96.625,2.2847123098373414,54.50000000000001
15,0.07165242135757581,97.6875,2.3177135372161866,55.875
16,0.12072657678043469,96.0625,2.7802072191238403,55.375
17,0.1021741963038221,96.78125,2.520399465560913,55.125
18,0.12703349051065743,96.21875,2.9895630359649656,47.125
19,0.16264926923904569,95.40625,2.8072884607315065,52.625
20,0.10359104163711891,96.96875,2.5651254987716676,52.5
