Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.6117501306533812,44.09375,1.848404850959778,66.0
2,1.3958225876092911,75.03125,1.3314420366287232,69.875
3,0.9856315428018569,80.9375,1.1550176382064818,71.375
4,0.7622088152170181,85.5625,1.0483745861053466,72.125
5,0.619161502122879,88.53125,0.9864795613288879,73.375
6,0.5123429995775223,91.28125,0.9621346998214722,74.625
7,0.4393350702524185,93.4375,0.92135413646698,73.875
8,0.37178671479225156,95.15625,0.9132094526290894,73.375
9,0.32681636661291125,95.6875,0.8979704117774964,74.0
10,0.28228080630302427,96.84375,0.8718037033081054,73.25
11,0.24079551339149474,97.90625,0.8690108799934387,75.125
12,0.21970767222344875,98.59375,0.8609925031661987,73.875
13,0.19136744685471058,98.84375,0.8713795685768128,74.5
14,0.17312967263162135,99.03125,0.8679901719093323,73.5
15,0.1519148126244545,99.1875,0.8448989963531495,74.625
16,0.14470384165644645,99.5,0.8616155672073365,75.5
17,0.1267631396651268,99.65625,0.847364718914032,74.0
18,0.11708645887672901,99.71875,0.8443146824836731,74.75
19,0.10689930383116007,99.75,0.8388885331153869,74.75
20,0.09902474097907543,99.84375,0.8643420743942261,73.375
