Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.7452835059165954,39.125,1.9466263103485106,62.875
2,1.651547280550003,66.90625,1.4070402431488036,69.375
3,1.2613143461942673,72.21875,1.204871871471405,70.625
4,1.0350218725204468,76.4375,1.1228013086318969,70.625
5,0.8949661433696747,80.0,1.0357949757575988,72.375
6,0.8103295207023621,81.46875,0.996126492023468,72.5
7,0.7187383776903152,83.90625,0.9693730449676514,73.375
8,0.6411309173703194,85.75,0.9406469702720642,73.375
9,0.5967532706260681,86.71875,0.9129259443283081,73.5
10,0.5414651536941528,88.40625,0.907076108455658,74.625
11,0.5084971213340759,89.34375,0.8995140671730042,75.0
12,0.46681904658675194,90.46875,0.8909931933879852,74.75
13,0.4474479205906391,91.0,0.8689459109306336,75.625
14,0.41266876190900803,91.59375,0.8798412418365479,75.625
15,0.3849240797758102,92.625,0.8731399321556091,74.5
16,0.35800342589616774,93.375,0.8420729601383209,75.75
17,0.3416950823366642,93.28125,0.8662438917160035,74.5
18,0.3166229709982872,94.21875,0.8432843589782715,74.75
19,0.3052630886435509,95.21875,0.8549425172805786,74.625
20,0.2912891996651888,94.46875,0.856494835615158,74.5
